donor,announcement_date,aid_type_general,aid_type_specific,explanation,item,item_type,item_sub_type,source_reported_value,tot_activity_value_EUR,item_value_estimate_USD
France,,Military,Weapons and equipment,"Donations in 2022 (announced in Nov 2023): According to the Parliamentarian Report issued in November 2023 (Source of Aid 1), France delivered certain weapons to Ukraine that were not covered in our dataset until now. Among these weapons are Mortars (we assume it's the MO-120-RT 120mm mortar because that's what France uses), MANPADS, and a heavy machine gun (M2 Browning). Even though the quantity was not provided, we use Source of Aid 2 to fill this information gap. Still, the information provided in Source of Aid 2 only covers 2022. We did not use Source of Aid 2 as the main source before because it covers only exports, and, therefore, it was impossible to know if the information provided there concerns bilateral aid only. We do the same for MISTRAL missiles reported in SIPRI (Source of aid 3). The number for MISTRAL missiles, however, comes from Source of Aid 1. We also use Source of aid 4 and report other things donated in 2022.",Mistral Air Defence Launcher,Portable defence system,Light Anti-armor Weapon (LAW),,,15600000.0
France,,Military,Weapons and equipment,"Donations in 2022 (announced in Nov 2023): According to the Parliamentarian Report issued in November 2023 (Source of Aid 1), France delivered certain weapons to Ukraine that were not covered in our dataset until now. Among these weapons are Mortars (we assume it's the MO-120-RT 120mm mortar because that's what France uses), MANPADS, and a heavy machine gun (M2 Browning). Even though the quantity was not provided, we use Source of Aid 2 to fill this information gap. Still, the information provided in Source of Aid 2 only covers 2022. We did not use Source of Aid 2 as the main source before because it covers only exports, and, therefore, it was impossible to know if the information provided there concerns bilateral aid only. We do the same for MISTRAL missiles reported in SIPRI (Source of aid 3). The number for MISTRAL missiles, however, comes from Source of Aid 1. We also use Source of aid 4 and report other things donated in 2022.",MILAN launcher,Portable defence system,Light Anti-armor Weapon (LAW),,,845585.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Milan,Ammunition for portable defence system,Light Anti-armor Weapon (LAW),,489557448.0,66328047.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",CROTALE Missile,Ammunition for heavy weapon,Surface-to-air missile (SAM),,,103853318.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",ASTER Missile,Ammunition for heavy weapon,Surface-to-air missile (SAM),,,325631973.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Helmet,Military equipment,Military equipment,,,8680000.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",ballistic vest,Military equipment,Military equipment,,,3250000.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",NBC protection suit (France),Military equipment,Military equipment,,,26328.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",first aid kit,Military equipment,Military equipment,,,139934.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Lyophilized plasma (PLYO),Military equipment,Military equipment,,,42744.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Night vision device,Military equipment,Military equipment,,,1032400.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",12.7mm cartridge,Ammunition for light infantry,Small Arms and Light Weapons (SALW) ammunition,,,4802400.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Hand grenade,Light armaments & infantry,Explosive,,,472500.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",rounds of small arms ammunition,Ammunition for light infantry,Small Arms and Light Weapons (SALW) ammunition,,,517000.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Ton of fuel,Military equipment,Military equipment,,,241875.0
France,,Military,Weapons and equipment,"Donations in 2022 ( announced in Mar 2024): In March 2024, the French Ministry of Defense published an overview of aid delivered before 31 December 2023. We use this information, as well as the overview published in February 2023 (Source of aid 2 and 3), to report on aid donated in 2022. We also use Source of aid 4 to report on missiles not disclosed by the French government.",Jet fuel (in m3),Military equipment,Military equipment,,,509286.0
France,2023-01-04,Military,Weapons and equipment,"According to Source of Aid 1 (Zelenskyy Twitter Account), France intends to supply Ukraine with Bastion APCs. No further reliable information regarding the number is known. According to the French military aid fact sheet (Source 2) the item number can be disclosed to 284 units.",Bastion APC,Heavy weapon,Armored Personnel Carrier (APC),,,
France,2023-01-04,Military,Weapons and equipment,"France promises to supply AMX-10 RC light tanks to Ukraine, the first time a Western country has supplied tanks to Ukraine. The number of tanks is not disclosed. Source of aid 4 states that a total of 38 AMX-10s have been delivered. Our dataset recorded two pledges of an unknown number of AMX-10s to Ukraine. We therefore assume that they were equally committed.",AMX-10 RC,Heavy weapon,Wheeled Assault Gun (ASLT),,50412960.0,54289716.0
France,2023-02-03,Military,Weapons and equipment,"According to French sources, France has committed, together with Italy, one SAMP/T air defense system. From official sources, no further information is available. Source of aid 3 states that Italy is providing the missiles launcher battery, while France provides the interceptor missiles. It is unclear how many missiles France will provide.",SAMP/T anti-air missile,Ammunition for heavy weapon,Surface-to-air missile (SAM),,,
France,2023-03-28,Military,Weapons and equipment,"According to Source of Aid 1, France will double this month its supplies of 155mm artillery rounds to Ukraine to about 2,000 shells a month, starting end of March 2023. We assume that until the end of 2023, this would add up 18,000 shells. Also, we assume that 8,000 of those will be delivered until July 31, 2023. As of the end of 2023, we assume everything was delivered. The Source of 1 report this artillery shells are provided based on an agreement signed between Australia and France in February, which enables to cooperate those two countries to jointly produce 155mm artillery shells.",155mm artillery round,Ammunition for heavy weapon,155mm howitzer ammunition,,13040376.0,13960800.0
France,2023-05-15,Military,Weapons and equipment,"According to Source of Aid 1, France will send to Ukraine dozens of Armored vehicles and light tanks, including additional AMX-10RCs fighting vehicles, without giving specific numbers. Source of aid 4 states that a total of 38 AMX-10s have been delivered. Our dataset recorded two pledges of an unknown number of AMX-10s to Ukraine. We therefore assume that they were equally committed.",AMX-10 RC,Heavy weapon,Wheeled Assault Gun (ASLT),,49956030.0,54289716.0
France,2023-07-11,Military,Weapons and equipment,"According to Source of Aid 1, France will provide Ukraine with SCALP long-range cruise missiles. The exact number of missiles committed is undisclosed. Source of aid 4 estimated the quantity.",SCALP missile,Ammunition for heavy weapon,Missile,,77481365.0,85680000.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",AT-4 anti-tank weapon,Portable defence system,Light Anti-armor Weapon (LAW),,265157904.0,790829.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",M270 weapon system,Heavy weapon,227mm MLRS,,,27231318.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",VAB Armored Personnel Carrier,Heavy weapon,Armored Personnel Carrier (APC),,,229298481.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Flight suit (France),Military equipment,Military equipment,,,4052.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",unknown GPS device,Military equipment,Military equipment,,,
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",winter clothing (France),Military equipment,Military equipment,,,90116.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",105mm tank ammunition,Ammunition for heavy weapon,105mm tank ammunition,,,21097800.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",satellite phone (Iridium),Military equipment,Military equipment,,,40773.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",drone detection system,Military equipment,Military equipment,,,
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",anti-tank mine,Military equipment,Mine,,,4680000.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Pyro materials,Military equipment,Military equipment,,,
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Detonator,Military equipment,Military equipment,,,148920.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Firecracker,Military equipment,Military equipment,,,
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Renault TRM 10000 truck,Military equipment,non combat military vehicle,,,361289.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",generator (300kw),Military equipment,Military equipment,,,75000.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Frequency scanner,Military equipment,Military equipment,,,
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Peugeot P4 (VLTT P4),Military equipment,non combat military vehicle,,,2011011.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Renault GBC 180,Military equipment,non combat military vehicle,,,140185.0
France,,Military,Weapons and equipment,"2023 donations: In March 2024, the French government published the list of equipment provided to Ukraine until 31 December 2023 (Source of aid 1). Here we report on the aid provided to Ukraine in 2023 that did not have a specific date. We use the information recorded in this dataset, as well as French reports to UNROCA (Source of aid 2), to distinguish between the aid provided in 2022 and 2023. ",Zodiacs Futura boat,Military equipment,Military equipment,,,737148.0
France,,Military,Weapons and equipment,"Military aid in kind is not included: In February-March 2024, France reported that total bilateral military aid to Ukraine reached 2.615 billion euros. As our dataset recorded less, even after using official information on the list of deliveries, as well as additional sources on the unlisted items such as missiles, we report the difference here.",.,.,.,1264502398.0,1264502398.0,
France,2024-02-16,Military,Weapons and equipment,Military Aid 2024: France committed 3 billion EUR aid for 2024.,.,.,.,3000000000.0,3000000000.0,
France,2024-01-16,Military,Weapons,"In a Press Conference, Macron announced the delivery of 40 SCALP missiles. Unit numbers for SCALP missiles are otherwise confidential in French weapons delivery reporting. Therefore we account for the unit number here. Source of Aid is a link to the press conference. Number announced at 2:25:58.",SCALP missile,Ammunition for heavy weapon,Missile,,,38080000.0
France,2024-01-18,Military,Funding for Weapon Acquisition Program,France is to finance 12 CAESAR howitzers produced for Ukraine in 2024. The value of the package was not given. Source of Aid 2 names France's Nexter as the contractor.,CAESAR artillery howitzer,Heavy weapon,155mm howitzer,,,76148022.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Night vision device,Military equipment,Military equipment,324141174.0,,3540320.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",MILAN launcher,Portable defence system,Light Anti-armor Weapon (LAW),324141174.0,,2536755.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Combat Ration package,Military equipment,Military equipment,324141174.0,,2217600.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",VAB Armored Personnel Carrier,Heavy weapon,Armored Personnel Carrier (APC),324141174.0,,41032360.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Renault TRM 10000 truck,Military equipment,non combat military vehicle,324141174.0,,361289.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Zodiac Hurricane multirole boat,Military equipment,Vessel,324141174.0,,16619698.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Jet fuel (in m3),Military equipment,Military equipment,324141174.0,,136913.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",small-calibre ammunition,Ammunition for light infantry,Small Arms and Light Weapons (SALW) ammunition,324141174.0,,259160.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",hand grenade,Light armaments & infantry,Explosive,324141174.0,,112500.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",12.7mm cartridge,Ammunition for light infantry,Small Arms and Light Weapons (SALW) ammunition,324141174.0,,27600.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",105mm tank ammunition,Ammunition for heavy weapon,105mm tank ammunition,324141174.0,,2344200.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",155mm artillery round,Ammunition for heavy weapon,155mm howitzer ammunition,324141174.0,,12797400.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",reconnaissance drone,Aviation and drones,drone,324141174.0,,62134047.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",detonator,Military equipment,Military equipment,324141174.0,,11388.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",firecracker,Military equipment,Military equipment,324141174.0,,
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",pyro materials,Military equipment,Military equipment,324141174.0,,
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",anti-tank mine,Military equipment,Mine,324141174.0,,1300000.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",FN Mag,Light armaments & infantry,Small Arms and Light Weapons (SALW),324141174.0,,2086300.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",Browning M2 HB 12.7mm heavy machine gun,Light armaments & infantry,Small Arms and Light Weapons (SALW),324141174.0,,3150000.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",unspecified sniper rifle (France),Light armaments & infantry,Small Arms and Light Weapons (SALW),324141174.0,,128070.0
France,,Military,Weapons and equipment,"2024 donations: In June 2024, the French government published the list of equipment provided to Ukraine until May 31, 2024 (Source of Aid 1). Here, we report on the aid provided to Ukraine in 2024 so far that did not have a specific date. We use the information recorded in this dataset, as well as French item numbers according to the French Fact Sheet on Arms Deliveries (as of 01.05.2024). It is also reported that since the beginning of 2024, France has delivered a total of 420 million EUR worth of military equipment to Ukraine. Since we have already recorded some entries for this year, we report the rest here.      ",MK81 bomb,Ammunition for heavy weapon,Explosive,324141174.0,,34650.0
